,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
month,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
coronavirus,896.0,4187.0,7292.0,7183.0,7005.0,5288.0,5283.0,3846.0,3193.0,3313.0,2550.0,2441.0,2223.0,1492.0,1433.0,1276.0,,859.0,,,,,,,,,
the,890,4101,16648,25933,26511,20483,21680,16190,14396,16385,14035,14341,12330,8606,9510,9049,8074,6741,9069,8710,6341,4882,4912,6614,6492,3641,2587
a,678,2899,11236,16598,17480,14289,14406,11051,9343,10692,8980,9366,8657,5903,6771,6305,5323,4275,5250,5274,3877,3027,2996,4182,4567,2271,1590
de,656,2912,10125,16216,17796,15636,13801,11831,9395,9641,7911,9040,10724,7517,8980,8251,6154,5546,6036,4968,4155,3393,3472,4675,5744,2629,1783
to,651,3024,13918,21775,21995,16855,17627,13057,11277,12732,11070,10596,9230,6659,7190,7136,6588,5029,6528,6694,4861,3647,3577,4715,5016,2689,1843
in,570,2686,7545,12171,12769,10371,11069,8101,7060,7730,6731,6824,6004,4418,4743,5031,4403,3416,5186,4281,3123,2461,2606,3272,3421,1855,1402
of,465,2185,8695,14763,15606,12074,12607,9545,8356,9097,8016,7981,7154,5030,5693,5668,5190,4053,5849,5405,3873,2936,2904,3874,3812,2093,1617
#coronavirus,450.0,1662.0,4014.0,4179.0,3780.0,,,,,,,,,,,,,,,,,,,,,,
Coronavirus,449.0,2206.0,4089.0,4232.0,,,,,,,,,,,,,,,,,,,,,,,
el,367,1731,4673,6095,6146,5491,4668,3986,3056,2946,2397,2845,3228,2301,2412,2481,1860,1664,1636,1348,1081,987,942,1170,1425,711,478
en,342,1575,4223,6576,7031,6038,5569,4904,3855,3796,3239,3517,3925,2716,3017,3090,2242,2070,2319,1895,1493,1216,1306,1741,1966,985,625
China,299.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,
and,296,1585,7670,12472,12749,10047,10629,7904,7130,8241,7076,6671,5764,3957,4614,4309,3932,3179,4224,4174,3191,2495,2387,3070,3207,1763,1261
is,295,1348,6238,9165,8956,7290,7732,5669,4751,6131,4941,4551,3846,2619,2758,3144,2639,1903,2778,2941,2060,1594,1635,2126,2191,1154,792
que,286,1323,4946,6619,7003,5795,5037,4226,2972,3125,2488,2887,3525,2282,2603,2508,1750,1566,1693,1292,1071,810,893,1297,1627,687,475
Wuhan,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la,264,1448,5146,8074,8867,7216,6121,5526,4584,4513,3788,4654,5201,3628,4050,3785,2881,2600,2946,2429,1983,1636,1684,2248,2399,1183,800
for,216,1100,5243,8471,8499,6731,7160,5406,4580,5583,4590,4676,3955,2676,3112,3194,2807,2096,2682,2836,2022,1666,1642,2094,2159,1173,818
-,214,1081,2991,4798,4887,3861,3480,2865,2526,2895,2314,2290,2320,1482,1719,1740,1377,1142,1281,1376,1192,997,847,1012,999,617,468
from,211.0,781.0,,,3884.0,,2977.0,2368.0,2062.0,,1846.0,1930.0,,1171.0,,1261.0,1216.0,855.0,1521.0,1288.0,996.0,742.0,740.0,873.0,887.0,537.0,372.0
on,183,1031,3655,5926,6046,4587,4824,3787,3415,3798,3119,2974,2749,1904,2145,1964,1903,1513,2057,1724,1311,1050,1131,1404,1422,731,563
